"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"PROF. REGINALDO VERAS";"0019";"DISTRITO FEDERAL (UF)";"Assistência social";"Alimentação e nutrição";"5133 - SEGURANCA ALIMENTAR E NUTRICIONAL E COMBATE A FOME";"2798 - AQUISICAO E DISTRIBUICAO DE ALIMENTOS DA AGRICULTURA FAMILIAR PARA PROMOCAO DA SEGURANCA ALIMENTAR E NUTRICIONAL";"AQUISICAO E DISTRIBUICAO DE ALIMENTOS DA AGRICULTURA FAMILIAR PARA PROMOCAO DA SEGURANCA ALIMENTAR E NUTRICIONAL - DESPESAS DIVERSAS";"202444490019";"500.000,00";"299.999,22";"282.449,27";"238.142,20";"0,00";"196.959,26";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"EDUARDO GOMES";"0004";"Nacional";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"6148 - ASSISTENCIA MEDICA QUALIFICADA E GRATUITA A TODOS OS NIVEIS DA POPULACAO E DESENVOLVIMENTO DE ATIVIDADES EDUCACIONAIS E DE PESQUISA NO CAMPO DA SAUDE - REDE SARAH DE HOSPITAIS DE REABILITACAO";"ASSISTENCIA MEDICA QUALIFICADA E GRATUITA A TODOS OS NIVEIS DA POPULACAO E DESENVOLVIMENTO DE ATIVIDADES EDUCACIONAIS E DE PESQUISA NO CAMPO DA SAUDE - REDE SARAH DE HOSPITAIS DE REABILITACAO";"202441860004";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"MARCIO JERRY";"0011";"MARANHÃO (UF)";"Trabalho";"Educação de jovens e adultos";"2310 - PROMOCAO DO TRABALHO DECENTE, EMPREGO E RENDA";"2A95 - QUALIFICACAO SOCIAL E PROFISSIONAL - PROJOVEM TRABALHADOR";"QUALIFICACAO SOCIAL E PROFISSIONAL - PROJOVEM TRABALHADOR";"202438930011";"500.000,00";"291.928,77";"291.928,77";"416.142,46";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"WELTER";"0002";"PARANÁ (UF)";"Assistência social";"Alimentação e nutrição";"5133 - SEGURANCA ALIMENTAR E NUTRICIONAL E COMBATE A FOME";"2798 - AQUISICAO E DISTRIBUICAO DE ALIMENTOS DA AGRICULTURA FAMILIAR PARA PROMOCAO DA SEGURANCA ALIMENTAR E NUTRICIONAL";"AQUISICAO E DISTRIBUICAO DE ALIMENTOS DA AGRICULTURA FAMILIAR PARA PROMOCAO DA SEGURANCA ALIMENTAR E NUTRICIONAL - DESPESAS DIVERSAS";"202445000002";"500.000,00";"399.148,45";"392.533,17";"214.909,95";"23,71";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"HELDER SALOMAO";"0024";"Nacional";"Saúde";"Formação de recursos humanos";"5121 - GESTAO, TRABALHO, EDUCACAO E TRANSFORMACAO DIGITAL NA SAUDE";"20YD - EDUCACAO E TRABALHO NA SAUDE";"EDUCACAO E TRABALHO NA SAUDE";"202433120024";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ALEXANDRE LINDENMEYER";"0013";"Nacional";"Organização agrária";"Promoção da produção agropecuária";"1191 - AGRICULTURA FAMILIAR E AGROECOLOGIA";"210V - ESTRUTURACAO PRODUTIVA, PROMOCAO E FORTALECIMENTO DA AGRICULTURA FAMILIAR E DA AGROECOLOGIA";"ESTRUTURACAO PRODUTIVA, PROMOCAO E FORTALECIMENTO DA AGRICULTURA FAMILIAR E DA AGROECOLOGIA - DESPESAS DIVERSAS";"202442950013";"500.000,00";"0,00";"0,00";"500.000,00";"0,00";"500.000,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"LUIZ PHILIPPE DE ORLEANS E BRAGANCA";"0005";"MARANHÃO (UF)";"Defesa nacional";"Desenvolvimento científico";"6112 - DEFESA NACIONAL";"21GO - FUNCIONAMENTO DAS INSTITUICOES CIENTIFICAS, TECNOLOGICAS E DE INOVACAO DO MINISTERIO DA DEFESA";"FUNCIONAMENTO DAS INSTITUICOES CIENTIFICAS, TECNOLOGICAS E DE INOVACAO DO MINISTERIO DA DEFESA - DESPESAS DIVERSAS";"202440360005";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"MARCIO ALVINO";"0020";"JACUPIRANGA - SP";"Saúde";"Atenção básica";"5119 - ATENCAO PRIMARIA A SAUDE";"2E89 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202437170020";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ANTONIO ANDRADE";"0003";"TOCANTINS (UF)";"Cultura";"Difusão cultural";"5125 - DIREITO A CULTURA";"20ZF - PROMOCAO E FOMENTO A CULTURA BRASILEIRA";"PROMOCAO E FOMENTO A CULTURA BRASILEIRA - DESPESAS DIVERSAS";"202443050003";"500.000,00";"0,00";"0,00";"500.000,00";"0,00";"500.000,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"RUBENS OTONI";"0011";"GOIÁS (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS";"202419600011";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"CORONEL ASSIS";"0003";"BARRA DO BUGRES - MT";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202443260003";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"JOAQUIM PASSARINHO";"0013";"PARÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202436920013";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"PADOVANI";"0006";"PARANÁ (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"8535 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE";"ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS";"202444400006";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"PEDRO UCZAI";"0003";"Nacional";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"5662 - MULHER VIVER SEM VIOLENCIA";"21GJ - APOIO AS INICIATIVAS DE PREVENCAO, ACESSO A JUSTICA E ENFRENTAMENTO A VIOLENCIA CONTRA AS MULHERES";"POLITICAS DE PREVENCAO, ACESSO A JUSTICA E ENFRENTAMENTO A VIOLENCIA CONTRA AS MULHERES - DESPESAS DIVERSAS";"202428550003";"500.000,00";"0,00";"0,00";"500.000,00";"0,00";"500.000,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"LUIZIANNE LINS";"0001";"Nacional";"Saúde";"Desenvolvimento científico";"5120 - PESQUISA, DESENVOLVIMENTO, INOVACAO, PRODUCAO E AVALIACAO DE TECNOLOGIAS EM SAUDE";"21BF - PESQUISA, DESENVOLVIMENTO TECNOLOGICO E INOVACAO EM SAUDE";"PESQUISA, DESENVOLVIMENTO TECNOLOGICO E INOVACAO EM SAUDE - DESPESAS DIVERSAS";"202437100001";"500.000,00";"50.000,00";"50.000,00";"900.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"YANDRA MOURA";"0004";"SERGIPE (UF)";"Assistência social";"Alimentação e nutrição";"5133 - SEGURANCA ALIMENTAR E NUTRICIONAL E COMBATE A FOME";"8458 - APOIO A AGRICULTURA URBANA E PERIURBANA";"APOIO A AGRICULTURA URBANA E PERIURBANA";"202444900004";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JAQUES WAGNER";"0012";"Nacional";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"6148 - ASSISTENCIA MEDICA QUALIFICADA E GRATUITA A TODOS OS NIVEIS DA POPULACAO E DESENVOLVIMENTO DE ATIVIDADES EDUCACIONAIS E DE PESQUISA NO CAMPO DA SAUDE - REDE SARAH DE HOSPITAIS DE REABILITACAO";"ASSISTENCIA MEDICA QUALIFICADA E GRATUITA A TODOS OS NIVEIS DA POPULACAO E DESENVOLVIMENTO DE ATIVIDADES EDUCACIONAIS E DE PESQUISA NO CAMPO DA SAUDE - REDE SARAH DE HOSPITAIS DE REABILITACAO";"202440800012";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JOSEILDO RAMOS";"0002";"ALAGOINHAS - BA";"Assistência social";"Assistência comunitária";"5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS";"202441900002";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"FERNANDO MINEIRO";"0003";"Nacional";"Gestão ambiental";"Preservação e conservação ambiental";"6114 - PROTECAO E RECUPERACAO DA BIODIVERSIDADE E COMBATE AO DESMATAMENTO E INCENDIOS";"20W2 - ENFRENTAMENTO DOS PROCESSOS DE DESERTIFICACAO, MITIGACAO E ADAPTACAO AOS EFEITOS DA SECA";"ENFRENTAMENTO DOS PROCESSOS DE DESERTIFICACAO, MITIGACAO E ADAPTACAO AOS EFEITOS DA SECA - DESPESAS DIVERSAS";"202443740003";"500.000,00";"0,00";"0,00";"500.000,00";"0,00";"500.000,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"EDUARDO GOMES";"0017";"Nacional";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"5811 - PROMOCAO DOS DIREITOS DAS PESSOAS COM DEFICIENCIA";"21G1 - PROMOCAO E DEFESA DOS DIREITOS DAS PESSOAS COM DEFICIENCIA";"PROMOCAO E DEFESA DOS DIREITOS DAS PESSOAS COM DEFICIENCIA - DESPESAS DIVERSAS";"202441860017";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"GUTEMBERG REIS";"0004";"Nacional";"Encargos especiais";"Outros encargos especiais";"0910 - OPERACOES ESPECIAIS: GESTAO DA PARTICIPACAO EM ORGANISMOS E ENTIDADES NACIONAIS E INTERNACIONAIS";"00NQ - CONTRIBUICAO A ASSOCIACAO PARA PROMOCAO DA EXCELENCIA DO SOFTWARE BRASILEIRO - SOFTEX";"CONTRIBUICAO A ASSOCIACAO PARA PROMOCAO DA EXCELENCIA DO SOFTWARE BRASILEIRO - SOFTEX";"202440140004";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"IVAN VALENTE";"0021";"SÃO PAULO (UF)";"Saúde";"Formação de recursos humanos";"5121 - GESTAO, TRABALHO, EDUCACAO E TRANSFORMACAO DIGITAL NA SAUDE";"20YD - EDUCACAO E TRABALHO NA SAUDE";"EDUCACAO E TRABALHO NA SAUDE";"202432280021";"500.000,00";"45.000,00";"45.000,00";"601.000,00";"0,00";"309.000,00";
"2024";"Emenda Individual - Transferências Especiais";"ANDRE FERNANDES";"0002";"GUAIÚBA - CE";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202443030002";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"LUIZA ERUNDINA";"0012";"SÃO PAULO (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"202436110012";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"FERNANDO MINEIRO";"0016";"RIO GRANDE DO NORTE (UF)";"Cultura";"Difusão cultural";"5125 - DIREITO A CULTURA";"20ZF - PROMOCAO E FOMENTO A CULTURA BRASILEIRA";"PROMOCAO E FOMENTO A CULTURA BRASILEIRA - DESPESAS DIVERSAS";"202443740016";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"RODRIGO VALADARES";"0002";"SERGIPE (UF)";"Desporto e lazer";"Desporto comunitário";"5126 - ESPORTE PARA A VIDA";"21CK - PROMOCAO E DESENVOLVIMENTO DO PARADESPORTO NACIONAL";"PROMOCAO E DESENVOLVIMENTO DO PARADESPORTO NACIONAL";"202444690002";"500.000,00";"499.918,54";"499.918,54";"162,92";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ALESSANDRO VIEIRA";"0012";"SERGIPE (UF)";"Comércio e serviços";"Promoção comercial";"2801 - NEOINDUSTRIALIZACAO, AMBIENTE DE NEGOCIOS E PARTICIPACAO ECONOMICA INTERNACIONAL";"210C - PROMOCAO DO DESENVOLVIMENTO DE MICRO E PEQUENAS EMPRESAS, MICROEMPREENDEDOR INDIVIDUAL, POTENCIAL EMPREENDEDOR E ARTESANATO";"PROMOCAO DO DESENVOLVIMENTO DE MICRO E PEQUENAS EMPRESAS, MICROEMPREENDEDOR INDIVIDUAL, POTENCIAL EMPREENDEDOR E ARTESANATO";"202441440012";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"MAX LEMOS";"0014";"TRÊS RIOS - RJ";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202444300014";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"DANIEL BARBOSA";"0004";"ALAGOAS (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"0048 - APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS";"APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS - DESPESAS DIVERSAS";"202443370004";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"MIGUEL LOMBARDI";"0004";"SÃO PAULO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"8535 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE";"ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS";"202437300004";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ROBERTA ROMA";"0012";"BAHIA (UF)";"Desporto e lazer";"Desporto comunitário";"5126 - ESPORTE PARA A VIDA";"20JP - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS, EVENTOS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL";"DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL - DESPESAS DIVERSAS";"202444620012";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"RENAN CALHEIROS";"0005";"ALAGOAS (UF)";"Agricultura";"Promoção da produção agropecuária";"1144 - AGROPECUARIA SUSTENTAVEL";"20ZV - FOMENTO AO SETOR AGROPECUARIO";"FOMENTO AO SETOR AGROPECUARIO - DESPESAS DIVERSAS";"202422890005";"500.000,00";"477.500,00";"477.500,00";"45.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"SARGENTO FAHUR";"0006";"PARANÁ (UF)";"Desporto e lazer";"Desporto comunitário";"5126 - ESPORTE PARA A VIDA";"20JP - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS, EVENTOS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL";"DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL - DESPESAS DIVERSAS";"202440660006";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JAIME BAGATTOLI";"0007";"RONDÔNIA (UF)";"Segurança pública";"Policiamento";"5116 - SEGURANCA PUBLICA COM CIDADANIA";"21BM - DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE";"DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE - DESPESAS DIVERSAS";"202442720007";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"FERNANDO MINEIRO";"0007";"RIO GRANDE DO NORTE (UF)";"Múltiplo";"Múltiplo";"MU - Múltiplo";"MU - Múltiplo";"QUALIFICACAO SOCIAL E PROFISSIONAL DE TRABALHADORES - DESPESAS DIVERSAS";"202443740007";"500.000,00";"0,00";"0,00";"500.000,00";"500.000,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JUNIOR LOURENCO";"0005";"MARANHÃO (UF)";"Comunicações";"Tecnologia da informação";"2305 - COMUNICACOES PARA INCLUSAO E TRANSFORMACAO";"20V8 - APOIO A INICIATIVAS E PROJETOS DE INCLUSAO DIGITAL";"APOIO A INICIATIVAS E PROJETOS DE INCLUSAO DIGITAL - DESPESAS DIVERSAS";"202441110005";"500.000,00";"0,00";"0,00";"894.066,48";"0,00";"105.933,52";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"PEZENTI";"0006";"SÃO PAULO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"8535 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE";"ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS";"202444480006";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JEFFERSON CAMPOS";"0005";"SÃO PAULO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202415810005";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"GIACOBO";"0003";"CIANORTE - PR";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202419680003";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"HUGO LEAL";"0011";"Nacional";"Ciência e Tecnologia";"Desenvolvimento científico";"2308 - CONSOLIDACAO DO SISTEMA NACIONAL DE CIENCIA, TECNOLOGIAE INOVACAO - SNCTI";"215L - FOMENTO A PESQUISA E AO DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO";"FOMENTO A PESQUISA E AO DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO - DESPESAS DIVERSAS";"202423970011";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"TIRIRICA";"0005";"MÚLTIPLO";"Assistência social";"Assistência comunitária";"5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS";"202428180005";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"ROBERTO DUARTE";"0013";"CRUZEIRO DO SUL - AC";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202444630013";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"CELIA XAKRIABA";"0006";"MINAS GERAIS (UF)";"Organização agrária";"Reforma agrária";"5136 - GOVERNANCA FUNDIARIA, REFORMA AGRARIA E REGULARIZACAO DE TERRITORIOS QUILOMBOLAS E DE POVOS E COMUNIDADES TRADICIONAIS";"210Z - IDENTIFICACAO, RECONHECIMENTO E TITULACAO DE TERRITORIOS QUILOMBOLAS";"IDENTIFICACAO, RECONHECIMENTO E TITULACAO DE TERRITORIOS QUILOMBOLAS - DESPESAS DIVERSAS";"202443220006";"500.000,00";"0,00";"0,00";"500.000,00";"0,00";"500.000,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"MAURICIO DO VOLEI";"0009";"SÃO PAULO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202444270009";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JEFFERSON CAMPOS";"0011";"SÃO PAULO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202415810011";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"CELIA XAKRIABA";"0010";"MINAS GERAIS (UF)";"Desporto e lazer";"Desporto comunitário";"5126 - ESPORTE PARA A VIDA";"20JQ - APOIO A REALIZACAO DE EVENTOS DE ESPORTE AMADOR, EDUCACIONAL, DE LAZER E INCLUSAO SOCIAL";"APOIO A REALIZACAO DE EVENTOS DE ESPORTE AMADOR, EDUCACIONAL, DE LAZER E INCLUSAO SOCIAL - DESPESAS DIVERSAS";"202443220010";"500.000,00";"0,00";"0,00";"1.000.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JANDIRA FEGHALI";"0020";"PETRÓPOLIS - RJ";"Saúde";"Atenção básica";"5119 - ATENCAO PRIMARIA A SAUDE";"2E89 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202417750020";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00";"0,00";
